Pengunjung Ke-,Waktu Kedatangan (Jam),Rentang Waktu Kedatangan (Menit),Pilihan Antrian,Interval Waktu Kembali,Mulai Layanan,Lama Waktu Antri (Menit)
1,900, 0,Normal,-,1000,100
2,902, 1,Normal,-,1000,98
3,904, 3,Normal,-,1000,96
4,905, 1,QuickPass,1404-1407,1412,-
5,905, 1,Normal,-,1000,95
6,908, 3,Normal,-,1000,92
7,908, 0,Normal,-,1000,92
8,909, 1,Normal,-,1000,91
9,910, 1,Normal,-,1000,90
10,912, 2,Normal,-,1000,88
11,913, 1,Normal,-,1000,87
12,913, 0,Normal,-,1000,87
13,916, 3,Normal,-,1000,84
14,916, 0,Normal,-,1000,84
15,916, 0,Normal,-,1000,84
16,917, 1,QuickPass,1404-1407,1412,-
17,918, 1,QuickPass,1240-1243,1248,-
18,918, 0,Normal,-,1000,82
19,918, 0,Normal,-,1000,82
20,920, 2,QuickPass,1500-1503,1508,-
21,921, 1,Normal,-,1000,79
22,922, 1,QuickPass,1336-1339,1344,-
23,923, 1,Normal,-,1000,77
24,923, 1,Normal,-,1000,77
25,928, 5,Normal,-,1000,72
26,929, 0,QuickPass,1404-1407,1412,-
27,930, 1,QuickPass,1336-1339,1344,-
28,931, 1,QuickPass,1500-1503,1508,-
29,931, 1,QuickPass,1556-1559,1604,-
30,933, 2,QuickPass,1624-1627,1632,-
31,933, 0,QuickPass,1020-1023,1028,-
32,933, 0,QuickPass,1144-1147,1152,-
33,936, 2,QuickPass,1500-1503,1508,-
34,937, 2,QuickPass,1240-1243,1248,-
35,943, 6,QuickPass,1404-1407,1412,-
36,945, 2,QuickPass,1308-1311,1316,-
37,945, 0,QuickPass,1048-1041,1056,-
38,949, 4,QuickPass,1528-1531,1536,-
39,951, 3,QuickPass,1048-1041,1056,-
40,951, 0,QuickPass,1020-1023,1028,-
41,953, 1,QuickPass,1212-1215,1220,-
42,953, 0,QuickPass,1404-1407,1412,-
43,955, 2,QuickPass,1212-1215,1220,-
44,956, 2,QuickPass,1020-1023,1028,-
45,957, 0,QuickPass,1048-1041,1056,-
46,957, 0,QuickPass,1336-1339,1344,-
47,957, 1,QuickPass,1048-1041,1056,-
48,958, 0,QuickPass,1556-1559,1604,-
49,960, 2,QuickPass,1144-1147,1152,-
50,1000, 0,Normal,-,1028,28
51,1000, 0,Normal,-,1028,28
52,1001, 0,QuickPass,1212-1215,1220,-
53,1001, 0,QuickPass,1144-1147,1152,-
54,1003, 2,Normal,-,1028,25
55,1003, 0,Normal,-,1028,25
56,1003, 0,Normal,-,1028,25
57,1004, 0,QuickPass,1212-1215,1220,-
58,1004, 0,Normal,-,1028,24
59,1004, 0,QuickPass,1624-1627,1632,-
60,1005, 1,QuickPass,1336-1339,1344,-
61,1005, 0,Normal,-,1028,23
62,1006, 0,QuickPass,1240-1243,1248,-
63,1006, 0,Normal,-,1028,22
64,1006, 0,Normal,-,1028,22
65,1007, 1,QuickPass,1116-1119,1124,-
66,1007, 0,Normal,-,1028,21
67,1009, 2,QuickPass,1556-1559,1604,-
68,1009, 1,Normal,-,1028,19
69,1010, 0,Normal,-,1028,18
70,1011, 1,Normal,-,1028,17
71,1012, 1,Normal,-,1028,16
72,1013, 1,Normal,-,1028,15
73,1014, 1,Normal,-,1028,14
74,1016, 2,Normal,-,1028,12
75,1016, 0,QuickPass,1212-1215,1220,-
76,1017, 1,QuickPass,1500-1503,1508,-
77,1017, 1,QuickPass,1116-1119,1124,-
78,1019, 2,QuickPass,1144-1147,1152,-
79,1021, 2,QuickPass,1212-1215,1220,-
80,1023, 1,QuickPass,1500-1503,1508,-
81,1024, 1,QuickPass,1308-1311,1316,-
82,1025, 1,QuickPass,1624-1627,1632,-
83,1025, 0,QuickPass,1144-1147,1152,-
84,1026, 1,QuickPass,1336-1339,1344,-
85,1029, 2,QuickPass,1624-1627,1632,-
86,1029, 0,QuickPass,1624-1627,1632,-
87,1031, 2,Normal,-,1056,25
88,1032, 1,Normal,-,1056,24
89,1035, 3,Normal,-,1056,21
90,1036, 0,Normal,-,1056,20
91,1036, 1,QuickPass,1556-1559,1604,-
92,1037, 0,Normal,-,1056,19
93,1038, 1,Normal,-,1056,18
94,1040, 2,Normal,-,1056,16
95,1040, 0,Normal,-,1056,16
96,1044, 4,Normal,-,1056,12
97,1044, 0,Normal,-,1056,12
98,1045, 1,QuickPass,1624-1627,1632,-
99,1047, 1,Normal,-,1056, 9
100,1047, 0,QuickPass,1144-1147,1152,-
101,1047, 0,QuickPass,1404-1407,1412,-
102,1047, 0,QuickPass,1528-1531,1536,-
103,1047, 0,Normal,-,1056, 9
104,1047, 0,Normal,-,1056, 9
105,1048, 0,Normal,-,1056, 8
106,1048, 0,QuickPass,1116-1119,1124,-
107,1049, 1,Normal,-,1056, 7
108,1051, 2,QuickPass,1404-1407,1412,-
109,1051, 0,Normal,-,1056, 5
110,1052, 1,QuickPass,1556-1559,1604,-
111,1052, 0,QuickPass,1528-1531,1536,-
112,1055, 2,QuickPass,1212-1215,1220,-
113,1057, 3,Normal,-,1124,67
114,1058, 0,Normal,-,1124,66
115,1058, 1,Normal,-,1124,66
116,1059, 0,Normal,-,1124,65
117,1101, 2,Normal,-,1124,23
118,1101, 0,Normal,-,1124,23
119,1102, 1,Normal,-,1124,22
120,1103, 1,QuickPass,1404-1407,1412,-
121,1105, 2,Normal,-,1124,19
122,1106, 1,QuickPass,1528-1531,1536,-
123,1108, 2,Normal,-,1124,16
124,1108, 0,Normal,-,1124,16
125,1109, 1,Normal,-,1124,15
126,1112, 3,Normal,-,1124,12
127,1112, 0,Normal,-,1124,12
128,1113, 1,QuickPass,1432-1435,1440,-
